year,state_str2,state_fips,abs_vote,abs_nofault,abs_nofault_post_2012,abs_perm,abs_perm_post_2012,abs_request_mail,abs_request_mail_post_2012,abs_request_phone,abs_request_phone_post_2012,abs_request_fax,abs_request_fax_post_2012,abs_request_web,abs_request_web_2012,abs_request_inperson,abs_request_inperson_post_2012,abs_request_thirdparty,abs_request_thirdparty_post_2012,abs_request_UOCAVA,abs_request_UOCAVA_post_2012,abs_return_mail,abs_return_mail_post,abs_return_fax,abs_return_fax_post_2012,abs_return_web,abs_return_web_post_2012,abs_return_inperson,abs_return_inperson_2012,abs_return_thirdparty,abs_return_thirdparty_post_2012,abs_return_UOCAVA,abs_return_UOCAVA_post_2012,abs_request_gov_photo_ID,abs_request_gov_photo_ID_post_2012,abs_request_nongov_photo_ID,abs_request_nongov_photo_ID_post_2012,abs_request_nonphoto_ID,abs_request_nonphoto_ID_post_2012,abs_request_ID_number,abs_request_ID_number_post_2012,abs_request_sigmatch_ID,abs_request_sigmatch_ID_post_2012,abs_request_notary_ID,abs_request_notary_ID_post_2012,abs_submit_govt_photo_ID,abs_submit_govt_photo_ID_post_2012,abs_submit_nongov_photo_ID,abs_submit_nongov_photo_ID_post_2012,abs_submit_nonphoto_ID,abs_submit_nonphoto_ID_post_2012,abs_submit_ID_number,abs_submit_ID_number_post_2012,abs_submit_sigmatch_ID,abs_submit_sigmatch_ID_post_2012,abs_submit_notary_ID,abs_submit_notary_ID_post_2012,abs_request_deadline_inperson,abs_request_deadline_inperson_post_2012,abs_request_deadline_postmark,abs_request_deadline_postmark_post_2012,abs_request_deadline_receipt,abs_request_deadline_receipt_post_2012,abs_request_deadline_hybrid,abs_request_deadline_hybrid_post_2012,abs_submit_deadline_inperson,abs_submit_deadline_inperson_post_2012,abs_submit_deadline_postmark,abs_submit_deadline_postmark_2012,abs_submit_deadline_receipt,abs_submit_deadline_receipt_post_2012,abs_submit_deadline_hybrid,abs_submit_deadline_hybrid_post_2012,abs_firsttime_restrictions,abs_firsttime_restrictions_post_2012,all_mail_authorized,all_mail_authorized_post_2012,early_voting_authorized,early_voting_authorized_post_2012,early_voting_no_excuse,early_voting_no_excuse_post_2012,early_voting_period_statute,early_voting_period_statute_post_2012,early_voting_begins,early_voting_begins_post_2012,early_voting_ends,early_voting_ends_post_2012,early_voting_hours,early_voting_hours_post_2012,early_voting_weekends,early_voting_weekends_post_2012,early_voting_sites,early_voting_sites_post_2012,early_voting_govt_photo_ID,early_voting_govt_photo_ID_post_2012,early_voting_nongov_photo_ID,early_voting_nongov_photo_ID_post_2012,early_voting_nonphoto_ID,early_voting_nonphoto_ID_post_2012,early_voting_ID_number,early_voting_ID_number_post_2012,early_voting_sigmatch_ID,early_voting_sigmatch_ID_post_2012,early_voting_witness_ID,early_voting_witness_ID_post_2012,early_voting_firsttime_restrictions,early_voting_firsttime_restrictions_post_2012,election_day_voting_govt_photo_ID,election_day_voting_nongov_photo_ID,election_day_voting_nonphoto_ID,election_day_voting_ID_number,election_day_voting_sigmatch_ID,election_day_voting_witness_ID,SDR,EDR,SDR_location,EDR_location,SDR_EDR_hybrid,SDR_primary,EDR_primary,SDR_closing_days,SDR_EDR_firstime_restrictions,closing_days,felon_disenfran,felon_perm,felon_restoration,felon_automatic,felon_firsttime,prereg_age,prereg_primary
2000,ID,16,1,1,NA,0,NA,2,NA,2,NA,1,NA,2,NA,2,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,1,NA,99,NA,1,NA,0,NA,0,NA,99,NA,0,NA,0,NA,0,NA,0,NA,3,NA,1,NA,0,NA,99,NA,1,NA,99,NA,1,NA,2,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,0,NA,99,99,99,99,99,99,0,1,99,1,1,99,1,99,0,0,1,0,2,2,0,18,2
1996,ID,16,1,1,NA,0,NA,2,NA,2,NA,1,NA,2,NA,2,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,1,NA,99,NA,1,NA,0,NA,0,NA,99,NA,0,NA,0,NA,0,NA,0,NA,3,NA,1,NA,0,NA,99,NA,1,NA,99,NA,1,NA,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,0,NA,99,99,99,99,99,99,0,1,99,1,1,99,1,99,0,0,1,0,2,2,0,18,2
1992,ID,16,1,1,NA,0,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,1,NA,99,NA,1,NA,0,NA,0,NA,99,NA,0,NA,0,NA,0,NA,0,NA,3,NA,1,NA,0,NA,99,NA,1,NA,99,NA,1,NA,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,0,NA,99,99,99,99,99,99,0,0,99,0,99,99,99,99,99,10,1,0,2,2,0,18,2
1988,ID,16,1,1,NA,0,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,1,NA,99,NA,1,NA,0,NA,0,NA,99,NA,0,NA,0,NA,0,NA,0,NA,3,NA,1,NA,0,NA,99,NA,1,NA,99,NA,1,NA,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,99,0,99,99,0,99,99,10,NA,NA,NA,NA,NA,18,2
1984,ID,16,1,1,NA,0,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,1,NA,99,NA,1,NA,0,NA,0,NA,99,NA,0,NA,0,NA,0,NA,0,NA,3,NA,1,NA,0,NA,60,NA,1,NA,99,NA,1,NA,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,99,0,99,99,0,99,99,10,NA,NA,NA,NA,NA,18,2
1980,ID,16,1,1,NA,0,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,1,NA,99,NA,1,NA,0,NA,0,NA,99,NA,0,NA,0,NA,0,NA,0,NA,3,NA,1,NA,0,NA,60,NA,1,NA,99,NA,1,NA,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,ID,16,1,1,NA,0,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,1,NA,99,NA,1,NA,0,NA,0,NA,99,NA,0,NA,0,NA,0,NA,0,NA,3,NA,1,NA,0,NA,60,NA,1,NA,99,NA,1,NA,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,ID,16,1,1,NA,0,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,1,NA,99,NA,1,NA,0,NA,0,NA,99,NA,0,NA,0,NA,0,NA,0,NA,3,NA,1,NA,0,NA,60,NA,1,NA,99,NA,1,NA,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,IL,17,1,NA,0,NA,0,NA,1,NA,2,NA,2,NA,1,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,3,NA,3,NA,3,NA,3,NA,1,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,5,NA,0,NA,0,NA,1,NA,0,NA,0,NA,1,NA,0,NA,3,NA,1,NA,1,NA,40,NA,1,NA,8,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,99,99,99,99,99,99,1,1,2,0,0,1,1,1,0,0,1,2,2,1,0,17,1
2016,IL,17,1,NA,0,NA,0,NA,1,NA,2,NA,2,NA,1,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,3,NA,3,NA,3,NA,3,NA,1,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,5,NA,0,NA,0,NA,1,NA,0,NA,0,NA,1,NA,0,NA,3,NA,1,NA,1,NA,40,NA,1,NA,8,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,99,99,99,99,99,99,1,1,2,0,0,1,1,1,0,0,1,2,2,1,0,17,1
2014,IL,17,1,NA,0,NA,0,NA,1,NA,2,NA,2,NA,1,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,3,NA,3,NA,3,NA,3,NA,1,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,5,NA,0,NA,0,NA,1,NA,0,NA,0,NA,1,NA,0,NA,3,NA,1,NA,1,NA,15,NA,3,NA,8,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,99,99,99,99,99,99,1,0,2,99,1,1,0,3,0,15,1,2,2,1,0,17,1
2012.5,IL,17,1,NA,0,NA,0,NA,1,NA,2,NA,2,NA,1,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,3,NA,3,NA,3,NA,3,NA,1,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,5,NA,0,NA,0,NA,1,NA,0,NA,0,NA,1,NA,0,NA,3,NA,1,NA,1,NA,15,NA,3,NA,8,NA,3,NA,3,NA,0,NA,2,NA,2,NA,0,NA,1,NA,2,NA,1,99,99,99,99,99,99,1,0,2,99,1,1,0,3,0,15,1,2,2,1,0,98,98
2012,IL,17,1,1,1,0,NA,1,NA,2,NA,2,NA,1,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,3,NA,3,NA,3,NA,3,NA,1,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,5,NA,0,NA,1,NA,1,NA,0,NA,1,NA,1,NA,0,NA,3,NA,1,NA,1,NA,15,NA,3,NA,8,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,99,99,99,99,99,1,0,2,99,1,1,0,3,0,15,1,0,1,1,0,99,99
2008,IL,17,1,0,NA,0,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,5,NA,0,NA,0,NA,1,NA,0,NA,1,NA,1,NA,0,NA,3,NA,1,NA,1,NA,22,NA,5,NA,8,NA,3,NA,3,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,99,99,99,99,99,1,0,2,99,1,1,0,14,0,15,1,0,1,1,0,98,98
2004,IL,17,1,0,NA,0,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,5,NA,0,NA,0,NA,1,NA,0,NA,1,NA,1,NA,0,NA,3,NA,0,NA,1,NA,22,NA,1,NA,8,NA,3,NA,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,0,NA,99,99,99,99,99,99,0,0,99,99,99,99,99,99,99,15,1,0,1,1,0,98,98
2000,IL,17,1,0,NA,0,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,5,NA,0,NA,0,NA,1,NA,0,NA,1,NA,1,NA,0,NA,3,NA,0,NA,1,NA,22,NA,1,NA,8,NA,3,NA,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,0,NA,99,99,99,99,99,99,0,0,99,99,99,99,99,99,99,99,1,0,1,1,0,98,98
1996,IL,17,1,0,NA,0,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,5,NA,0,NA,0,NA,1,NA,0,NA,1,NA,1,NA,0,NA,3,NA,0,NA,1,NA,22,NA,1,NA,8,NA,3,NA,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,0,NA,99,99,99,99,99,99,0,0,99,99,99,99,99,99,99,99,1,0,1,1,0,98,98
1992,IL,17,1,0,NA,0,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,5,NA,0,NA,0,NA,1,NA,0,NA,1,NA,1,NA,0,NA,3,NA,0,NA,1,NA,22,NA,1,NA,8,NA,3,NA,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,0,NA,99,99,99,99,99,99,0,0,99,99,99,99,99,99,99,99,1,0,1,1,0,98,98
1988,IL,17,1,0,NA,0,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,5,NA,0,NA,0,NA,1,NA,0,NA,1,NA,1,NA,0,NA,3,NA,0,NA,1,NA,22,NA,1,NA,8,NA,3,NA,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA
1984,IL,17,1,0,NA,0,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,5,NA,0,NA,0,NA,1,NA,0,NA,1,NA,1,NA,0,NA,3,NA,0,NA,1,NA,22,NA,1,NA,8,NA,3,NA,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA
1980,IL,17,1,0,NA,0,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,5,NA,0,NA,0,NA,1,NA,0,NA,1,NA,1,NA,0,NA,3,NA,0,NA,1,NA,22,NA,1,NA,8,NA,3,NA,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA
1976,IL,17,1,0,NA,0,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,5,NA,0,NA,0,NA,99,NA,0,NA,0,NA,1,NA,0,NA,1,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,NA,NA,NA,NA,NA,NA,0,0,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA
1972,IL,17,1,0,NA,0,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,3,NA,99,NA,5,NA,0,NA,0,NA,99,NA,0,NA,0,NA,1,NA,0,NA,1,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,NA,NA,NA,NA,NA,NA,0,0,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2018,IN,18,1,NA,0,NA,0,NA,1,NA,2,NA,1,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,8,NA,0,NA,0,NA,99,NA,0,NA,0,NA,1,NA,0,NA,3,NA,1,NA,1,NA,28,NA,1,NA,99,NA,3,NA,2,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,0,0,2,2,2,2,2,0,0,99,99,99,99,99,99,99,29,1,0,2,1,0,17,1
2016,IN,18,1,NA,0,NA,0,NA,1,NA,2,NA,1,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,8,NA,0,NA,0,NA,99,NA,0,NA,0,NA,1,NA,0,NA,3,NA,1,NA,1,NA,29,NA,1,NA,99,NA,3,NA,2,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,0,0,2,2,2,2,2,0,0,99,99,99,99,99,99,99,29,1,0,2,1,0,17,1
2014,IN,18,1,NA,0,NA,0,NA,1,NA,2,NA,1,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,8,NA,0,NA,0,NA,99,NA,0,NA,0,NA,1,NA,0,NA,3,NA,1,NA,1,NA,29,NA,1,NA,99,NA,3,NA,2,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,0,0,2,2,2,2,2,0,0,99,99,99,99,99,99,99,29,1,0,2,1,0,17,1
2012.5,IN,18,1,NA,0,NA,0,NA,1,NA,2,NA,1,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,8,NA,0,NA,0,NA,99,NA,0,NA,0,NA,1,NA,0,NA,3,NA,1,NA,1,NA,28,NA,1,NA,99,NA,3,NA,2,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,0,0,2,2,2,2,2,0,0,99,99,99,99,99,99,99,29,1,0,2,1,0,17,1
2012,IN,18,1,0,NA,0,NA,1,NA,2,NA,1,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,8,NA,0,NA,0,NA,99,NA,0,NA,0,NA,1,NA,0,NA,3,NA,1,NA,1,NA,28,NA,1,NA,99,NA,3,NA,2,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,0,NA,0,2,2,2,2,2,0,0,99,99,99,99,99,99,99,29,1,0,1,1,0,17,1
2008,IN,18,1,0,NA,0,NA,1,NA,2,NA,1,NA,2,NA,1,NA,2,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,8,NA,0,NA,0,NA,99,NA,0,NA,0,NA,1,NA,0,NA,3,NA,1,NA,1,NA,29,NA,1,NA,99,NA,3,NA,2,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,0,NA,0,2,2,2,2,2,0,0,99,99,99,99,99,99,99,29,1,0,1,1,0,17,1
2004,IN,18,1,0,NA,0,NA,1,NA,2,NA,1,NA,2,NA,1,NA,2,NA,1,NA,1,NA,1,NA,0,NA,1,NA,1,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,8,NA,0,NA,0,NA,99,NA,0,NA,0,NA,1,NA,0,NA,3,NA,1,NA,1,NA,29,NA,1,NA,99,NA,3,NA,2,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,0,NA,99,99,99,99,99,99,0,0,99,99,99,99,99,99,99,29,1,0,1,1,0,17,1
2000,IN,18,1,0,NA,0,NA,1,NA,2,NA,1,NA,2,NA,1,NA,2,NA,1,NA,1,NA,0,NA,0,NA,1,NA,1,NA,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,8,NA,0,NA,0,NA,99,NA,0,NA,0,NA,0,NA,0,NA,3,NA,1,NA,1,NA,29,NA,1,NA,99,NA,3,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,0,NA,99,99,99,99,99,99,0,0,99,99,99,99,99,99,99,29,1,0,1,1,0,17,1
1996,IN,18,1,0,NA,0,NA,1,NA,2,NA,1,NA,2,NA,1,NA,2,NA,1,NA,1,NA,0,NA,0,NA,1,NA,1,NA,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,5,NA,0,NA,0,NA,99,NA,0,NA,0,NA,0,NA,0,NA,3,NA,1,NA,1,NA,30,NA,1,NA,99,NA,3,NA,1,NA,3,NA,3,NA,3,NA,3,NA,98,NA,3,NA,0,NA,99,99,99,99,99,99,0,0,99,99,99,99,99,99,99,29,1,0,1,1,0,17,1
1992,IN,18,1,0,NA,0,NA,1,NA,2,NA,1,NA,2,NA,1,NA,2,NA,1,NA,1,NA,0,NA,0,NA,1,NA,1,NA,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,5,NA,0,NA,0,NA,99,NA,0,NA,0,NA,0,NA,0,NA,3,NA,1,NA,1,NA,30,NA,1,NA,99,NA,3,NA,1,NA,3,NA,3,NA,3,NA,3,NA,98,NA,3,NA,0,NA,99,99,99,99,99,99,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98
1988,IN,18,1,0,NA,0,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,1,NA,0,NA,0,NA,1,NA,1,NA,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,99,NA,5,NA,0,NA,0,NA,99,NA,0,NA,0,NA,0,NA,0,NA,3,NA,1,NA,1,NA,30,NA,1,NA,99,NA,3,NA,1,NA,3,NA,3,NA,3,NA,3,NA,98,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA
1984,IN,18,1,0,NA,0,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,99,NA,1,NA,0,NA,99,NA,0,NA,0,NA,0,NA,0,NA,3,NA,1,NA,1,NA,30,NA,1,NA,99,NA,1,NA,1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA
1980,IN,18,1,0,NA,0,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,99,NA,1,NA,0,NA,99,NA,0,NA,0,NA,0,NA,0,NA,3,NA,1,NA,1,NA,30,NA,1,NA,99,NA,1,NA,1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA
1976,IN,18,1,0,NA,0,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,3,NA,3,NA,99,NA,1,NA,0,NA,99,NA,0,NA,0,NA,0,NA,0,NA,3,NA,1,NA,1,NA,30,NA,3,NA,99,NA,1,NA,1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA
1972,IN,18,1,0,NA,0,NA,1,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,3,NA,3,NA,99,NA,1,NA,0,NA,99,NA,0,NA,0,NA,0,NA,0,NA,3,NA,1,NA,1,NA,30,NA,3,NA,99,NA,1,NA,1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA
